params,feats,avg_loss,avg_acc
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.03, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9435670178636067,0.578125
"{""iterations"": 200, ""depth"": 3, ""learning_rate"": 0.03, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9436197897576768,0.578125
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9436198539945833,0.571875
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'fifa_rank_diff']",0.9436328448980685,0.571875
"{""iterations"": 75, ""depth"": 2, ""learning_rate"": 0.1, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9436523537839339,0.575
"{""iterations"": 100, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9436761552510877,0.575
"{""iterations"": 50, ""depth"": 2, ""learning_rate"": 0.1, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff']",0.9436842645022683,0.578125
"{""iterations"": 200, ""depth"": 3, ""learning_rate"": 0.05, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9436986224084599,0.584375
"{""iterations"": 100, ""depth"": 2, ""learning_rate"": 0.1, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9437656421184759,0.571875
"{""iterations"": 50, ""depth"": 2, ""learning_rate"": 0.1, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9437738083551022,0.578125
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.03, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff']",0.9438216090318606,0.58125
"{""iterations"": 100, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9438236356325724,0.578125
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9438325859856933,0.58125
"{""iterations"": 75, ""depth"": 3, ""learning_rate"": 0.1, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9438445848251741,0.58125
"{""iterations"": 100, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9438466613120303,0.575
"{""iterations"": 75, ""depth"": 2, ""learning_rate"": 0.1, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9438521778925594,0.571875
"{""iterations"": 200, ""depth"": 3, ""learning_rate"": 0.03, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9439033907423913,0.58125
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9439105515227746,0.571875
"{""iterations"": 50, ""depth"": 5, ""learning_rate"": 0.1, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9439107833695972,0.578125
"{""iterations"": 50, ""depth"": 2, ""learning_rate"": 0.1, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9439791934733887,0.575
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.03, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff']",0.9439823000962626,0.578125
"{""iterations"": 50, ""depth"": 2, ""learning_rate"": 0.1, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9439845662690146,0.575
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff']",0.943995450360131,0.578125
"{""iterations"": 100, ""depth"": 3, ""learning_rate"": 0.05, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff', 'fifa_rank_diff']",0.9440041319616576,0.578125
"{""iterations"": 75, ""depth"": 3, ""learning_rate"": 0.05, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9440126335866104,0.58125
"{""iterations"": 100, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9440152952290596,0.578125
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff']",0.9440211547031035,0.575
"{""iterations"": 200, ""depth"": 2, ""learning_rate"": 0.03, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9440264498876939,0.584375
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9440350408194499,0.58125
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff']",0.9440583126790771,0.56875
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9440616208284631,0.571875
"{""iterations"": 75, ""depth"": 5, ""learning_rate"": 0.1, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9441121232695169,0.571875
"{""iterations"": 75, ""depth"": 2, ""learning_rate"": 0.1, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9441485794618112,0.571875
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff']",0.9441595139238934,0.565625
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'fifa_rank_diff']",0.9441886667784983,0.58125
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.03, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff']",0.944197088233531,0.578125
"{""iterations"": 75, ""depth"": 4, ""learning_rate"": 0.05, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9442502977292836,0.578125
"{""iterations"": 100, ""depth"": 3, ""learning_rate"": 0.05, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff', 'fifa_rank_diff']",0.9442542676849003,0.578125
"{""iterations"": 100, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9442865289040118,0.575
"{""iterations"": 75, ""depth"": 3, ""learning_rate"": 0.05, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9443151085381715,0.578125
"{""iterations"": 100, ""depth"": 3, ""learning_rate"": 0.05, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.944324234491939,0.58125
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9443471460881809,0.56875
"{""iterations"": 100, ""depth"": 3, ""learning_rate"": 0.05, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9444176927818638,0.5875
"{""iterations"": 75, ""depth"": 3, ""learning_rate"": 0.1, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9444203858849936,0.58125
"{""iterations"": 200, ""depth"": 3, ""learning_rate"": 0.1, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9444438936308119,0.584375
"{""iterations"": 200, ""depth"": 2, ""learning_rate"": 0.03, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9444531404708195,0.578125
"{""iterations"": 75, ""depth"": 4, ""learning_rate"": 0.05, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9444651839627056,0.578125
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9444913752186939,0.56875
"{""iterations"": 100, ""depth"": 4, ""learning_rate"": 0.05, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9445026861820933,0.578125
"{""iterations"": 100, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'fifa_rank_diff']",0.9445136379572434,0.58125
"{""iterations"": 100, ""depth"": 4, ""learning_rate"": 0.05, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.944518374958957,0.578125
"{""iterations"": 75, ""depth"": 2, ""learning_rate"": 0.1, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff']",0.9445188197051528,0.584375
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff']",0.9445202901078055,0.575
