params,feats,avg_loss,avg_acc
"{""n_estimators"": 100, ""max_depth"": 4, ""learning_rate"": 0.03, ""subsample"": 0.9, ""colsample_bytree"": 0.7, ""min_child_weight"": 1}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.954309388671779,0.565625
"{""n_estimators"": 200, ""max_depth"": 4, ""learning_rate"": 0.01, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""min_child_weight"": 5}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9543961116892691,0.575
"{""n_estimators"": 200, ""max_depth"": 2, ""learning_rate"": 0.03, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""min_child_weight"": 5}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9544471885917547,0.5875
"{""n_estimators"": 200, ""max_depth"": 4, ""learning_rate"": 0.01, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""min_child_weight"": 3}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9547629433624027,0.56875
"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.03, ""subsample"": 0.9, ""colsample_bytree"": 0.7, ""min_child_weight"": 5}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9548293288510324,0.5875
"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""min_child_weight"": 5}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9548515782205896,0.578125
"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""min_child_weight"": 3}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9548644505892719,0.5875
"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.03, ""subsample"": 0.9, ""colsample_bytree"": 0.7, ""min_child_weight"": 3}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9549699436270028,0.5875
"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.03, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""min_child_weight"": 1}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9550632978732135,0.5875
"{""n_estimators"": 100, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""min_child_weight"": 5}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9551025814374341,0.56875
"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.1, ""subsample"": 0.9, ""colsample_bytree"": 0.7, ""min_child_weight"": 5}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.955200344002689,0.5875
"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.03, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""min_child_weight"": 5}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9552179970329335,0.59375
"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.1, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""min_child_weight"": 3}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9552818819642989,0.590625
"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.03, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""min_child_weight"": 3}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9553402490908003,0.59375
"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.1, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""min_child_weight"": 3}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9556197291967681,0.578125
"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""min_child_weight"": 5}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9556263315202507,0.58125
"{""n_estimators"": 100, ""max_depth"": 4, ""learning_rate"": 0.03, ""subsample"": 0.9, ""colsample_bytree"": 0.7, ""min_child_weight"": 5}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.955846406177503,0.578125
"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.03, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""min_child_weight"": 5}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9559059967913928,0.5875
"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""min_child_weight"": 1}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9559707667024414,0.584375
"{""n_estimators"": 200, ""max_depth"": 2, ""learning_rate"": 0.03, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""min_child_weight"": 3}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9560857184376659,0.5875
"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.03, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""min_child_weight"": 3}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9561161367594753,0.584375
"{""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.03, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""min_child_weight"": 5}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9562338982851044,0.578125
